SEQNOS,FIRE_INVOLVED,FIRE_EXTINGUISHED,ANY_EVACUATIONS,NUMBER_EVACUATED,WHO_EVACUATED,RADIUS_OF_EVACUATION,ANY_INJURIES,NUMBER_INJURED,NUMBER_HOSPITALIZED,ANY_FATALITIES,NUMBER_FATALITIES,ANY_DAMAGES,DAMAGE_AMOUNT,AIR_CORRIDOR_CLOSED,AIR_CORRIDOR_DESC,AIR_CLOSURE_TIME,WATERWAY_CLOSED,WATERWAY_DESC,WATERWAY_CLOSURE_TIME,ROAD_CLOSED,ROAD_DESC,ROAD_CLOSURE_TIME,CLOSURE_DIRECTION,MAJOR_ARTERY,TRACK_CLOSED,TRACK_DESC,TRACK_CLOSURE_TIME,MEDIA_INTEREST,MEDIUM_DESC,ADDITIONAL_MEDIUM_INFO,BODY_OF_WATER,TRIBUTARY_OF,NEAREST_RIVER_MILE_MAKER,RELEASE_SECURED,ESTIMATED_DURATION_OF_RELEASE,RELEASE_RATE,DESC_REMEDIAL_ACTION,STATE_AGENCY_ON_SCENE,STATE_AGENCY_REPORT_NUM,OTHER_AGENCY_NOTIFIED,WEATHER_CONDITIONS,AIR_TEMPERATURE,WIND_SPEED,WIND_DIRECTION,WATER_SUPPLY_CONTAMINATED,SHEEN_SIZE,SHEEN_COLOR,DIRECTION_OF_SHEEN_TRAVEL,SHEEN_ODOR_DESCRIPTION,WAVE_CONDITION,CURRENT_SPEED,CURRENT_DIRECTION,WATER_TEMPERATURE,TRACK_CLOSE_DIR,EMPL_FATALITY,PASS_FATALITY,COMMUNITY_IMPACT,WIND_SPEED_UNIT,EMPLOYEE_INJURIES,PASSENGER_INJURIES,OCCUPANT_FATALITY,CURRENT_SPEED_UNIT,ROAD_CLOSURE_UNITS,TRACK_CLOSURE_UNITS,SHEEN_SIZE_UNITS,ADDITIONAL_INFO,STATE_AGENCY_NOTIFIED,FEDERAL_AGENCY_NOTIFIED,NEAREST_RIVER_MILE_MARKER,SHEEN_SIZE_LENGTH,SHEEN_SIZE_LENGTH_UNITS,SHEEN_SIZE_WIDTH,SHEEN_SIZE_WIDTH_UNITS,OFFSHORE,DURATION_UNIT,RELEASE_RATE_UNIT,RELEASE_RATE_RATE,PASSENGERS_TRANSFERRED
1205396,N,U,N,,,,Y,1,1,Y,1,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,MADE NOTIFICATIONS.  LOCAL AUTHORITIES RESPONDED.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,KS EMA,,,,,,,N,,,,NO
1205397,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,OHIO RIVER,OHIO RIVER,MISSISSIPPI RIVER,,U,,,NONE,,,,CLEAR,60,,,U,,,,CRUDE OIL,,,,,,,,,,,,,,,,,,,,818,,,,,N,,,,NO
1205398,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,/ INSIDE OF TRAILER/ASPHALT,,,,Y,,,MADE NOTIFICATION.  CONTRACTOR IS ON SITE CONDUCTING CLEAN UP.,,18-1306,,PARTLY CLOUDY,60,,,U,,,,,,,,,,,,,,,,,,,,,,CA OES,,,,,,,N,,,,NO
1205399,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,PACIFIC OCEAN,,,,U,,,,,,,OVERCAST,,25,,U,,,,,,,,,,,,,MPH,,,,,,,,,HILNR,,,,,,,N,,,,NO
1205401,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,HILO BAY,HILO BAY,,,U,,,ABSORBENTS APPLIED,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205402,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,PORT ANGELES HARBOR,PORT ANGELES HARBOR,,,U,,,DISSIPATE NATURALLY,,,,,,,,U,,,,DIESEL,,,,,,,,,,,,,,,,,,,,,100,FEET,100,FEET,N,,,,NO
1205403,N,U,Y,2,EMPLOYEES,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE RELEASE (ODOR),,,,N,,,CONTRACTOR (HEPACO) ENROUTE FOR INVESTIGATION.,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205404,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,Y,SINGLE MAIN 2,2,UNKNOWN,RAIL REPORT (N/A),TRAIN V VEHICLE,,,,U,,,NON RELEASE RAIL REPORT,,18-0717,,UNKNOWN,,,,U,,,,,,,,,N/S,,,,,,,,,,,,,WA EMERGENCY OPS,,,,,,,N,,,,NO
1205405,N,U,N,,,,Y,1,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),TRESPASSER STRUCK AND INJURED,,,,U,,,CALLER STATED THE TRACK IS CURRENTLY OPEN.  THERE WAS A 50 MINUTE DELAY.,LOCAL PD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205406,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,IN THE AIR,,,,U,,,THE LOCAL FIRE DEPARTMENT CAME TO THE SCENE TO INVESTIGATE.,FIRE DEPARTMENT,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,LOCAL 911,,,,,,,N,,,,NO
1205408,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),TRAIN STRUCK A VEHICLE ON THE TRACKS,,,,U,,,CALLER STATED THE VEHICLE WAS KNOCKED CLEAR OF THE RAILROAD TRACKS.,AMTRAK PD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205409,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN,STORM DRAIN,,,Y,,,CONTRACTOR HAS BEEN HIRED AND ENROUTE.,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205410,N,U,N,,,,N,,,N,,Y,50000,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,"HOUSES, CARS, LAND",,,,Y,,,"SHUTDOWN SYSTEM, SECURED OPERATIONS, WILL GO TO NEARBY AREAS TO INVESTIGATE  DAMAGES.
",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,/// UPDATE TO NRC INCIDENT REPORT # 1205282 ///,,,,,,,,N,,,,NO
1205411,Y,Y,N,,,,N,,,N,,Y,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,SERVICE TO BUILDING WAS CAPPED,FIRE DEPT,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205412,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN,STORM DRAIN,,,U,,,INVESTIGATED AND IT IS NOT GAS LEAK RELATED.,,,,,,,,U,,,,PETROLEUM PRODUCT,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205414,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,ST. JOHNS RIVER,ST. JOHNS RIVER,ATLANTIC OCEAN,,Y,,,"PADS IN PLACE, BOOM BEING PUT IN PLACE.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205415,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,BAYOU BOEUF,BAYOU BOEUF,,,U,,,"ABSORBENTS APPLIED, NON-RECOVERABLE.",,,,,,,,U,,OTHER,,COLOR: GREEN,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205418,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,OHIO RIVER,OHIO RIVER,,,U,,,ATTEMPTING TO REDRESS THE PROBLEM.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,USCG,840.2,,,,,N,,,,NO
1205419,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,LITTLE CREEK,LITTLE CREEK,,,Y,,,ABSORBENTS APPLIED,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,US NAVY PORT CONTROL,,30,FEET,3,INCHES,N,,,,NO
1205420,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,U,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,WORKING TO CLEAR TRACK,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,RAIL SAFETY,,,,,,,N,,,,NO
1205421,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,NEW BEDFORD HARBOR,NEW BEDFORD HARBOR,ACUSHNET RIVER,,U,,,ATTEMPTING TO FIND A SOURCE,DEP,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,COAST GUARD,,300,YARDS,50,FEET,N,,,,NO
1205423,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,GRAVEL,,,,Y,,,VAC TRUCK,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205424,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,ICW,INTERCOASTAL WATERWAY,,,U,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,USCG MORGAN CITY,,500,FEET,35,FEET,N,,,,NO
1205428,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,INTRACOASTAL,INTRACOASTAL,,,U,,,NOTIFICATIONS,,,,,,,,U,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,USCG,,,,,,N,,,,NO
1205429,N,U,N,,,,Y,1,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,,,,,U,,,NONE. MAKING NOTIFICATIONS.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205430,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,MISSISSIPPI RIVER,MISSISSIPPI RIVER,,,U,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,USCG SECTOR UPPER MISS,200.78,20,FEET,20,FEET,N,,,,NO
1205431,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,HOUSTON SHIP CHANNEL,HOUSTON SHIP CHANNEL,,,Y,,,CLEAN UP UNDERWAY,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,387.1,,,,,N,,,,NO
1205433,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN,STORM DRAIN,,,Y,,,"ABSORBENTS APPLIED, VAC TRUCK USED, CLEAN UP CREW ON-SITE, CLEAN UP UNDERWAY, CONTRACTOR HAS BEEN HIRED.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,GLUE IS WATER BASED.,,,,,,,,N,,,,NO
1205434,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),POTENTIALLY INTO THE HOUSTON SHIP CHANNEL,,,,U,,,,,,,OVERCAST,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205435,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,GRAVEL,,,,U,,,WORKING ON GETTING VAC TRUCK TO REMOVE RESIDUAL RAIN WATER WITHIN BERM. WILL REMOVE MATERIAL FROM FRAC TANK. WILL ESCAVATE SOIL.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205436,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,Y,,,UNKNOWN,NON-RELEASE (N/A),TRESPASSER,,,,U,,,INVESTIGATION UNDERWAY,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205437,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,MADE NOTIFICATIONS.,,,,,,,,U,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,N,,,,NO
1205438,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,LAKE BILLY CHINOOK,LAKE BILLY CHINOOK,,,Y,,,"TAKING BOAT OUT OF WATER, SHEEN DISSIPATED NATURALLY",,2018-0458,,,,,,U,,,,,,,,,,,,,,,,,,,,,,OR ERS,,,,,,,N,,,,NO
1205439,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,ROADWAY/DRAINAGE DITCH,DRAINAGE DITCH,,,U,,,CALLER REPORTS THE AREA IS BEING DAMMED AND DIKED.,,,,OVERCAST,50,,,U,,,,,,,,,,,,,,,,,,,,,,"CHP, CA FISH AND WILDLIFE",,,,,,,N,,,,NO
1205440,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,SINCLAIR INLET,SINCLAIR INLET,PUGET SOUND,,U,,,WORKING TO GET BOOM AROUND VESSEL.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,TRIBAL POLICE,,,,,,,N,,,,NO
1205441,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,SOIL,,,,,Y,,,MADE NOTIFICATION.  CONTRACTORS AND COMPANY PERSONNEL ARE CONDUCTING CLEAN UP.,,,,PARTLY CLOUDY,62,,,U,,,,,,,,,,,,,,,,,,,,,CALLER WILL BE MAKING STATE NOTIFICATIONS.,,,,,,,,N,,,,NO
1205442,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ON THE GROUND,,,,U,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205444,N,U,N,,,,N,,,Y,1,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,MADE NOTIFICATIONS.  LOCAL AUTHORITIES RESPONDED.,"PD, EMS",,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205447,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,/ DIRT,,,,Y,,,MADE NOTIFICATION.  PIPELINE WAS PRESSURED DOWN.  ABSORBENTS WERE APPLIED.,,,,PARTLY CLOUDY,79,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205451,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,BILOXI LIGHTHOUSE FISHING MARINA,BILOXI LIGHTHOUSE FISHING MARINA,,,U,,,,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,USCG,,800,YARDS,200,YARDS,N,,,,NO
1205452,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,CONCRETE.,,,,U,,,CALLER STATED A SAW DUST MATERIAL WAS PUT ON THE GROUND.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,CALLER STATED THAT MATERIAL BEGAN LEAKING FROM THE PUMP EVEN AFTER THE HANDLE WAS RELEASED.,,,,,,,,N,,,,NO
1205453,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,MOOSABEC REACH,MOOSABEC REACH,GULF OF MAINE,,U,,,USCG WILL RESPOND TOMORROW,,,,SUNNY,50,5,,U,,,,,,,,,,,,,KNTS,,,,,,,,,,"USCG SECNNE, MSD BELFAST",,100,YARDS,,,N,,,,NO
1205456,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,LAND,GRAVEL,,,,Y,,,"SEWER SYSTEM TURNED ON TO ALLOW LEVELS TO FALL, VAC TRUCK TO REMOVE OVERFILLED MATERIAL.",,18-01025,,,,,,U,,,,,,,,,,,,,,,,,,,,,,"STATE POLICE, LEPC",,,,,,,N,,,,NO
1205457,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,ROAD / FROZEN LAKE,FROZEN LAKE,,,Y,,,"REMOVED EQUIPMENT, CLEAN UP COMPLETED.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,EPA,,,,,,N,,,,NO
1205458,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,SOIL/GRAVEL,,,,U,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205459,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,GEORGE'S CREEK.,GEORGE'S CREEK.,,,U,,,CONTRACTOR EN ROUTE.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205460,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE/OUTSIDE AIR,,,,Y,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205461,N,U,N,,,,N,,,N,,N,,N,,,N,,,Y,I35E,,,Y,N,,,UNKNOWN,WATER,CREEK/HIGHWAY,CREEK,,,Y,,,"BOOMS APPLIED, VAC TRUCK USED, CLEAN UP CREW ON-SITE, CLEAN UP UNDERWAY, CONTRACTOR HAS BEEN HIRED.","LOCAL FD, PD, TX DPS",20180807,,,,,,U,,,,,,,,,,,,,,,,,,,,,,TCEQ,,,,,,,N,,,,NO
1205466,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,LOWER MISSISSIPPI RIVER,LOWER MISSISSIPPI RIVER,GULF OF MEXICO,,Y,,,"SHEEN UNRECOVERABLE, DECK CLEANED",,,,SUNNY,75,,,U,,,,,,,,,,,,,,,,,,,,,,,,97.0RDB,,,,,N,,,,NO
1205467,N,U,N,,,,N,,,N,,U,,N,,,N,,,N,,,,N,N,,,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,MADE NOTIFICATION.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,MTA PD,,,,,,,N,,,,NO
1205468,Y,Y,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ASPHALT,,,,Y,,,"FD/ PD ON-SCENE, DIKES AND DAMS CONTRUCTED",PD/FD,,,CLEAR,65,,,U,,,,,,,,,,,,,,,,,,,,,,VADEQ,,,,,,,N,,,,NO
1205469,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,SAN FRANCISCO BAY,SAN FRANCISCO BAY,PACIFIC OCEAN,,U,,,"PAD DEPLOYED, CALLER STATES IT MAY BE DISBURSED ALREADY",,,,,,,ESE,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,100,FEET,100,FEET,N,,,,NO
1205471,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,,,,,Y,,,"SHUT DOWN UNIT, LEAK REPAIRED",,,,OVERCAST,74,15,N,U,,,,,,,,,,,,,MPH,,,,,,,,,,,,,,,,N,,,,NO
1205472,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,BEACH/GULF OF MEXICO,GULF OF MEXICO,,,U,,,TAR BALLS COLLECTED,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,ALDEM,,,,,,,N,,,,NO
1205474,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,SITKA SOUND,SITKA SOUND,PACIFIC OCEAN,,U,,,DIVER ON SITE FOR RECOVERY,,,,SNOWY,,,,U,,,,,,,,,,,,,,,,,,,,,,SITKA BOROUGH,USCG,,,,,,N,,,,NO
1205475,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,/ATMOSPHERE,,,,U,,,MADE NOTIFICATION.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,CALLER WILL BE  MAKING STATE NOTIFICATIONS.,,,,,,,,N,,,,NO
1205478,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,SAN PABLO BAY,SAN PABLO BAY,SAN FRANCISCO BAY,,U,,,NONE,,,,,52,,,U,,RAINBOW,W,,,,,,,,,,,,,,,,,,,,VTS,,,,,,N,,,,NO
1205479,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,ELOI BAY,ELOI BAY,GULF OF MEXICO,,Y,,,"SHUT-IN WELL, BLEW FLOWLINE CLEAN WITH GAS",,,,CLEAR,84,,SSW,U,,SILVERY,,,,,,,,,,,,,,,,,,,,,,,600,FEET,60,FEET,N,,,,NO
1205480,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,/ MISSISSIPPI RIVER,,,,U,,,MADE NOTIFICATION.  TUG HAS BEEN ARRANGED.,,,,PARTLY CLOUDY,72,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205482,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,/ SAWKILL CREEK,SAWKILL CREEK,DELAWARE RIVER,,Y,,,RESPONSE HAS BEEN COMPLETED.,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205483,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,BAYOU LAFOURCHE,BAYOU LAFOURCHE,GULF OF MEXICO,,Y,,,ABSORBENTS APPLIED,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205484,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ONTO SOIL,,,,Y,,,CALLER STATED THEY ARE DILUTING THE SPILL WITH WATER.  CALLER STATED THEY WILL REMOVE THE SOIL AT DAYLIGHT.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205485,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE - NO OFF SITE IMPACT,,,,Y,,,"ISOLATED THE RELIEF VALVE, WILL REPAIR / REPLACE EQUIPMENT.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,RP WILL MAKE OTHER NOTIFICATIONS AFTER THIS CALL.,,,,,,,,N,,,,NO
1205486,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,DUTCH HARBOR,DUTCH HARBOR,UNALASKA BAY,,Y,,,NONE,,,,UNKNOWN,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205487,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,EMERY COVE MARINA,EMERY COVE MARINA,,,U,,,NONE AT THIS TIME,,,,,,,,U,,,,DIESEL FUEL,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205488,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ONTO THE GROUND,,,,Y,,,"ABSORBENTS APPLIED,  A CONTRACTOR HAS BEEN HIRED (EPS SERVICES).",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205489,N,U,N,,,,Y,1,1,N,,N,,N,,,N,,,Y,PURCHASE PKWY,,N/S,N,N,,,UNKNOWN,LAND,GROUND,,,,N,,15,"LOCAL POLICE AND CONTRACTOR ARE ONSCENE, AREA HAS BEEN DIKED OFF WITH DIRT, REMAINING CONTENT IS BEING TRANSFERRED INTO ANOTHER TRUCK",LOCAL PD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,ROAD CLOSURE IS STILL ONGOING AT THIS TIME.,KY STATE POLICE / MARSHALL COUNTY,,,,,,,N,,GALLON(S),MINUTE,NO
1205491,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,BAYOU LAFOURCHE,BAYOU LAFOURCHE,,,U,,,"AREA HAS BEEN BOOMED OFF, INVESTIGATION AND CLEAN UP ARE UNDERWAY",,,,,,,,U,,REDDISH,,,,,,,,,,,,,,,,,,,,"HARBOR POLICE, LA STATE POLICE",USCG,,15,FEET,70,FEET,N,,,,NO
1205492,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,OUTSIDE ATMOSPHERE,,,,Y,,,CALLER REPORTS ONCE DISCOVERED THE CONTROL EQUIPMENT WAS REPAIRED.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205493,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,AIR,ATMOSPHERE,,,,N,,,ATTEMPTING TO LOCATE AND SECURE SOURCE.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205494,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN/CREEK,STORM DRAIN/CREEK,,,Y,,,CALLER REPORTS ABSORBANT PADS AND POWDERS AND BARRIERS ARE BEING USED TO CONTAIN AND CLEAN THE DISCHARGE.,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205495,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,TREES,,,,U,,,INVESTIGATION UNDERWAY,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,GA DEPARTMENT OF AGRICULTURE,US FOREST SERVICE,,,,,,N,,,,NO
1205496,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ROADWAY,,,,U,,,FIRE DEPT EN ROUTE TO ASSESS SITUATION,FIRE DEPT.,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,COUNTY HOMLAND SEC.,,,,,,,N,,,,NO
1205497,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,OUTSIDE ATMOSPHERE,,,,Y,,,CALLER REPORTS THEY SHUT DOWN THE NORTH SIDE OF THE REFINERY.,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO
1205498,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,INTRA COASTAL WATERWAY,ATLANTIC INTRACOASTAL WATERWAY,ATLANTIC OCEAN.,,U,,,"PADS, AND BOOM IN PLACE.",,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,20,FEET,,,N,,,,NO
