SEQNOS,DESCRIPTION_OF_INCIDENT,TYPE_OF_INCIDENT,INCIDENT_CAUSE,INCIDENT_DATE_TIME,INCIDENT_DTG,INCIDENT_LOCATION,LOCATION_ADDRESS,LOCATION_STREET1,LOCATION_STREET2,LOCATION_NEAREST_CITY,LOCATION_STATE,LOCATION_COUNTY,LOCATION_ZIP,DISTANCE_FROM_CITY,DISTANCE_UNITS,DIRECTION_FROM_CITY,LAT_DEG,LAT_MIN,LAT_SEC,LAT_QUAD,LONG_DEG,LONG_MIN,LONG_SEC,LONG_QUAD,LOCATION_SECTION,LOCATION_TOWNSHIP,LOCATION_RANGE,POTENTIAL_FLAG
1202195,CALLER STATED THAT THEY HAVE A REMEDIATION SYSTEM WHICH HAS LINES WHICH FROZE AND BROKE DUE TO COLD WEATHER. THIS CAUSED 50 GALLONS OF A WATER AND WASTE OIL MIXTURE TO OF WHICH 25 GALLONS OF PRODUCT REMAINS IN SECONDARY CONTAINMENT WHILE APPROXIMATELY 25 GALLONS WAS RELEASED TO THE GROUND. NO IMPACT TO WATER.,FIXED,EQUIPMENT FAILURE,1/18/18 8:15,DISCOVERED,,2054 ZOO PRKWY,,,JACKSONVILLE,FL,DUVAL,,,,,,,,,,,,,,,,N
1202196,CALLER REPORTS AN INTENTIONAL RELEASE OF UNKNOWN CHEMICALS INTO THE DUCT WORK OF HER RESIDENCE AFTER A CONTRACTOR WAS CONDUCTING MAINTENANCE ON IT.,FIXED,OTHER,12/6/17 22:00,OCCURRED,,124 DAKOTA LANE,LOT 23,,KENNEDALE,PA,VENANGO,13674,,,,,,,,,,,,,,,N
1202197,CALLER STATED THAT THEY HAD A STORAGE TANK OVERFILL. WHICH CAUSED APPROXIMATELY 15 BARRELS OF FUEL GRADE ETHANOL TO BE RELEASED TO THE GROUND.,STORAGE TANK,EQUIPMENT FAILURE,1/18/18 7:45,DISCOVERED,,400 NORTH JEFFERSON,,,PASADENA,TX,HARRIS,,,,,,,,,,,,,,,,N
1202198,CALLER STATED A 3 INCH WELD FAILED ON A PIPE THAT GOES TO A STORAGE TANK CAUSING THE RELEASE OF HYDROCHLORIC ACID TO THE GROUND AND AIR.,STORAGE TANK,EQUIPMENT FAILURE,1/18/18 8:20,OCCURRED,,HIGHWAY 361,,,INGLESIDE,TX,SAN PATRICIO,78359,,,,,,,,,,,,,,,N
1202199,CALLER REPORTS A TRAIN STRUCK A DUMP TRUCK ON RAILROAD TRACKS AT A CROSSING RESULTING IN THE FATALITY OF THE DRIVER OF THE TRUCK AND A DISCHARGE OF APPROXIMATELY 100 GALLONS OF LUBE OIL FROM A LOCOMOTIVE ENGINE ONTO THE BALLAST.,RAILROAD,TRESPASSER,1/18/18 9:09,DISCOVERED,,BETHLEHEM CHURCH ROAD,,,MORELAND,GA,COWETA,,,,,,,,,,,,,,,,N
1202200,CALLER REPORTS A PASSENGER TRAIN STRUCK A TRESPASSER ON RAILROAD TRACKS RESULTING IN A FATALITY.,RAILROAD NON-RELEASE,TRESPASSER,1/18/18 6:30,OCCURRED,MP 5.7,,,,LENWOOD,CA,SAN BERNARDINO,,,,,,,,,,,,,,,,N
1202201,CALLER STATED THAT A CONDENSER LEAKED APPROXIMATELY 1600 POUNDS OF ANHYDROUS AMMONIA TO THE SUMP OF THE SYSTEM. IT APPEARS THAT ALL MATERIALS ARE CONTAINED WITHIN THE COOLING TOWERS.,FIXED,EQUIPMENT FAILURE,1/18/18 8:40,DISCOVERED,,5201 UP RIVER ROAD,,,CORPUS CHRISTI,TX,NUECES,,,,,,,,,,,,,,,,N
1202202,CALLER STATED THAT DURING A SALVAGE OPERATION THERE WAS A SMALL DISCHARGE OF AN UNKNOWN OIL TO THE WATER CAUSING A SHEEN. INCIDENT OCCURRED  AT 11:20 A.M. LOCAL,VESSEL,UNKNOWN,1/18/18 10:20,OCCURRED,,CORAL BAY HARBOR,,,,VI,ST. JOHN,,,,,,,,,,,,,,,,N
1202203,CALLER REPORTS A PARTIALLY SUBMERGED VESSEL AT A DOCK WITH A POTENTIAL TO RELEASE ABOUT 10 GALLONS OF DIESEL. NO SHEEN OR DISCHARGE HAS BEEN OBSERVED.,VESSEL,VESSEL SINKING,1/18/18 7:45,DISCOVERED,HARBOR POINT DOCKS,,,,NEW BUFFALO,MI,BERRIEN,,,,,,,,,,,,,,,,Y
1202204,"CALLER STATED THAT THEY WERE RECEIVING A DELIVERY OF HOME HEATING OIL, WHEN THE DELIVERY COMPANY OVERFILLED THE TANK CAUSING A RELEASE OF HOME HEATING OIL TO THE GROUND WHICH TRAVELED FROM WITHIN THE GARAGE TO THE OUTSIDE. IMPACT TO SOIL AND VEGETATION.",STORAGE TANK,OPERATOR ERROR,1/16/18 12:00,OCCURRED,,11 EVERGREEN RD,,,LEHIGHTON,PA,CARBON,,,,,,,,,,,,,,,,N
1202205,CALLER REPORTS A DISCHARGE OF AN UNKNOWN AMOUNT OF WASTEWATER ONTO THE GROUND AND INTO A BAYOU CAUSED BY A POSSIBLE PINHOLE LEAK IN A PIPELINE.,PIPELINE,EQUIPMENT FAILURE,1/18/18 9:50,DISCOVERED,ABOUT .5 MILE EAST OF ADDRESS AT A PIPLINE RIGHT OF WAY.,5800 UNDERWOOD RD,,,PASADENA,TX,HARRIS,,,,,,,,,,,,,,,,N
1202206,CALLER STATED THAT AT THE RACEWAY AN VEHICLE HIT A FUEL PUMP CAUSING THE PUMP TO RELEASE 779 GALLONS OF GASOLINE TO THE GROUND WITH AN UNKNOWN AMOUNT ENTERING A STORM DRAIN WHICH LEADS TO REEDY CREEK . A SHEEN WAS OBSERVED ON THE CREEK. DRIVER OF VEHICLE FLED THE SCENE.,FIXED,OTHER,1/18/18 5:15,DISCOVERED,,6333 MIDLOTHIAN TURNPIKE,,,RICHMOND,VA,RICHMOND,23201,,,,,,,,,,,,,,,N
1202207,CALLER REPORTS A RELEASE OF 8 BARRELS OF PRODUCED WATER ONTO THE GROUND WITH 2 BARRELS REACHING THE WATER CAUSED BY A PIPELINE LEAK DUE TO FREEZING CONDITIONS.,PIPELINE,NATURAL PHENOMENON,1/18/18 8:30,DISCOVERED,SEE LAT/LONG,,,,SADLER,TX,GRAYSON,,,,,33,44,53,N,96,47,8,W,,,,N
1202208,CALLER STATED THAT THEY ALARM INDICATING A RELEASE OF BUTADIENE TO THE ATMOSPHERE.  CALLER STATED THAT THE AMOUNT IS UNKNOWN.,FIXED,UNKNOWN,1/18/18 10:19,DISCOVERED,,6161 UNDERWOOD ROAD,,,PASADENA,TX,HARRIS,,,,,,,,,,,,,,,,N
1202209,CALLER REPORTS AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE.,UNKNOWN SHEEN,UNKNOWN,1/18/18 8:30,DISCOVERED,UNKNOWN SHEEN INCIDENT,550 NE HARBOR ST.,,,WARRENTON,OR,CLATSOP,97146,,,,,,,,,,,,,,,N
1202210,"CALLER STATED THAT WHILE CONDUCTING FREEZE PROTECTION SPRAY OF  FIRE FIGHTING MONITOR THE FOAM INDUCTION WAS NOT SHUT DOWN CAUSING A RELEASE OF A ""ENVIRONMENTALLY FRIENDLY"" FOAM TO BE THE WATERS OF THE HOUSTON SHIP CHANNEL.",FIXED,OPERATOR ERROR,1/18/18 9:55,OCCURRED,,906 CLINTON DRIVE,,,GALENA PARK,TX,HARRIS,,,,,,,,,,,,,,,,N
1202211,CALLER STATED THAT A HALF A GALLON OF LUBRICATING OIL WAS DISCHARGED DURING TRANSFER FROM A MOBILE STORAGE TANK TO A VESSEL. MATERIAL DRIPPED DOWN THE SIDE OF THE VESSEL AND IMPACTED THE WATERS OF  SAN DIEGO BAY.,STORAGE TANK,EQUIPMENT FAILURE,1/18/18 8:55,OCCURRED,,NAVAL BASE POINT LOMA,,,POINT LOMA,CA,SAN DIEGO,,,,,,,,,,,,,,,,N
1202212,CALLER REPORTED SOME LUBE OIL WAS SPILLED INTO THE WATER DURING TRANSFER DUE TO UNKNOWN REASONS.,VESSEL,UNKNOWN,1/18/18 9:00,DISCOVERED,NORTH PIER,140 SYLVESTER RD,,,SAN DIEGO,CA,SAN DIEGO,92136,,,,,,,,,,,,,,,N
1202213,CALLER STATED THAT THEY LOST A REACTOR SEAL CAUSING THE RELEASE OF VINYL CHLORIDE  TO THE ATMOSPHERE. AMOUNT OF RELEASE IS UNKNOWN HOWEVER IT IS ABOVE THE RQ.,FIXED,EQUIPMENT FAILURE,1/18/18 11:35,OCCURRED,,100 TIDAL RD,,,DEER PARK,TX,HARRIS,77536,,,,,,,,,,,,,,,N
1202214,LUBE OIL DISCHARGED FROM A HOSE ON A PIER CONNECTION DUE TO AN EQUIPMENT FAILURE.,FIXED,EQUIPMENT FAILURE,1/18/18 9:00,OCCURRED,SAN DIEGO SUBMARINE BASE; NORTH PIER,,,,SAN DIEGO,CA,SAN DIEGO,,,,,,,,,,,,,,,,N
1202215,CALLER REPORTED A STORAGE TANK OVERFLOWED DUE TO SAND COLLECTION AT THE PLUG.,PLATFORM,OTHER,1/18/18 10:30,OCCURRED,PLATFORM INCIDENT,SEE LAT/LONG,,,,LA,SOUTH PASS,,,,,28,59,23,N,89,15,46,W,,,,N
1202216,CALLER REPORTS A DISCHARGE OF 300 GALLONS OF GASOLINE ONTO THE GROUND FROM A STORAGE TANK. A GARAGE HAS BEEN BUILT ON THE LOCATION HOWEVER THE GASOLINE IS STILL PRESENT UNDER THE GROUND BETWEEN THE SURFACE AND A LAYER OF CLAY. THE ACTUAL INCIDENT OCCURRED MORE THAN TEN YEARS AGO.,STORAGE TANK,UNKNOWN,9/20/16 12:00,DISCOVERED,,6240 S COUNTY LINE ROAD,,,BURR RIDGE,IL,DU PAGE,,,,,,,,,,,,,,,,N
1202219,AVIATION FUEL DISCHARGED FROM A FILL TANK DUE TO OPERATOR ERROR (LEFT A VALVE CLOSED) WHILE RUNNING THE FUEL FILTER SYSTEM.,STORAGE TANK,OPERATOR ERROR,1/18/18 9:45,OCCURRED,ARMY TRAINING SITE; CAMP DAWSON,1001 ARMY RD,,,KINGWOOD,WV,PRESTON,,,,,,,,,,,,,,,,N
1202221,CALLER STATED THAT THEY DISCOVERED AN OIL SHEEN IN THE STEELING BASIN FOR THE A WEEK. AFTER TRACING THE CONNECTION TO THE LAS VEGAS WASH THEY DISCOVERED ANOTHER SHEEN ON THE WASH. CAUSE IS UNKNOWN AT THIS TIME..,FIXED,UNKNOWN,1/18/18 10:10,DISCOVERED,,181 N WATER ST,,,HENDERSON,NV,CLARK,89015,,,,,,,,,,,,,,,N
1202222,UNKNOWN SHEEN SIGHTING.  EXACT SOURCE OF THE SHEEN IS UNKNOWN AT THIS TIME.  CALLER STATES THE SHEEN SEEMS TO BE COMING FROM A CULVERT.,UNKNOWN SHEEN,UNKNOWN,1/18/18 9:40,DISCOVERED,DISCOVERY BAY; STRAITS OF JUAN DE FUCA,28283 US HWY 101,,,PORT TOWNSEND,WA,JEFFERSON,,,,,,,,,,,,,,,,N
1202225,CALLER REPORTED AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE COMING UPRIVER FROM THEIR VESSEL.,UNKNOWN SHEEN,UNKNOWN,1/18/18 12:29,DISCOVERED,NECHES RIVER/EXXON MOBILE DOCK,MM 17,,,,TX,JEFFERSON,,,,,,,,,,,,,,,,N
1202227,"BENZENE AND 1, 3 BUTADIENE ARE RELEASING FROM A FLARE STACK DUE TO A STARTUP PROCESS.",FIXED,OTHER,1/18/18 13:20,OCCURRED,CHEMICAL PLANT,2775 GULF STATES RD.,,,BEAUMONT,TX,JEFFERSON,77701,,,,,,,,,,,,,,,N
1202228,CALLER REPORTED AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE.,UNKNOWN SHEEN,UNKNOWN,1/18/18 13:55,DISCOVERED,UNKNOWN SHEEN INCIDENT,250 EAST 22ND ST,,,BAYONNE,NJ,HUDSON,07002,,,,,,,,,,,,,,,N
1202229,CALLER STATED THAT THEY EXPERIENCED A HYDROGEN SULFIDE RELEASE FROM A PROCESS PIPING LEAK. CAUSE IS UNKNOWN.,FIXED,EQUIPMENT FAILURE,1/17/18 12:51,DISCOVERED,,900 SOUTH CENTRAL AVE.,,,ROXANA,IL,MADISON,62084,,,,,,,,,,,,,,,N
1202231,"CALLER STATED THAT, DUE TO HEAVY WEATHER, THERE IS A VESSEL THAT WAS OVERTURNED AND IS FREE FLOATING TOWARDS SURFERS BEACH. THERE ARE NO SIGNS OF A DISCHARGE OBSERVED AT THIS TIME HOWEVER THERE IS A POTENTIAL.",VESSEL,NATURAL PHENOMENON,1/18/18 10:10,DISCOVERED,,NO. 1 JOHNSON PIER,,,HALF MOON BAY,CA,SAN MATEO,94019,,,,,,,,,,,,,,,Y
1202232,CALLER STATED THAT THEY HAD A RELEASE OF AMMONIA TO AN OIL PAN FROM A UNION PUMP DUE TO A FAULTY GASKET. AMOUNT RELEASED IS UNKNOWN.,FIXED,EQUIPMENT FAILURE,1/18/18 13:30,OCCURRED,,21178 SOUTHWEST 89TH RD,,,BEATRICE,NE,GAGE,,,,,,,,,,,,,,,,N
1202234,CRUDE OIL DISCHARGED FROM A SALT WATER TANK LINE THAT FROZE CAUSING A LEAK.,STORAGE TANK,EQUIPMENT FAILURE,1/18/18 13:15,OCCURRED,POINT AUFER; LOCUST BAYOU,"LAT: 29N 15' 51""","LONG: 91W 17' 27.63""",,,LA,TERREBONNE,,,,,29,15,51,N,91,17,28,W,,,,N
1202235,"CALLER REPORTED A PURGE SOLVENT LINE FITTING ON A ROBOT FAILED AND RESULTED IN A RELEASE OF MATERIALS.			",FIXED,OTHER,1/17/18 20:00,OCCURRED,,983 NISSAN DR,,,SMYRNA,TN,RUTHERFORD,37167,,,,,,,,,,,,,,,N
1202237,CALLER REPORTED SOME PIPE LINES THAT FROZE AND CRACKED WHILE THAWING AT THEIR SHIP DOCKS.,FIXED,NATURAL PHENOMENON,1/18/18 14:10,OCCURRED,,1201 SOUTH SHELDON RD,,,HOUSTON,TX,HARRIS,,,,,,,,,,,,,,,,N
1202239,////THIS IS A 24-HOUR UPDATE FOR NRC REPORT NUMBER 1202159.//////// CALLER STATES F6 UNIT IS STILL VENTING DUE TO FREEZING WEATHER CONDITIONS.  THE ETHYLENE HAS STOPPED RELEASING.,FIXED,NATURAL PHENOMENON,1/17/18 8:30,OCCURRED,CHEMICAL FACILITY,2701 SPUR 136,,,PORT NECHES,TX,JEFFERSON,,,,,,,,,,,,,,,,N
1202240,CALLER REPORTS A DISCHARGE OF AN UNKNOWN AMOUNT OF CRUDE OIL INTO THE WATER CAUSED BY A LEAK ON A LINE ON A PLATFORM.,PLATFORM,EQUIPMENT FAILURE,1/18/18 13:45,DISCOVERED,PLATFORM INCIDENT,SEE LAT / LONG,,,CHAUVIN,LA,TERREBONNE,,,,,29,12,48,N,90,27,53,W,,,,N
1202242,CALLER STATES THE RESPONSIBLE PARTY HAS DUMPED MOTOR OIL AFTER CHANGING IT OUT FROM MULTIPLE VEHICLES AT THE ADDRESS LOCATION.  CALLER ALSO STATES THIS INCIDENT HAS BEEN ONGOING FOR OVER 30 YEARS.,FIXED,DUMPING,1/18/18 12:00,OCCURRED,PRIVATE RESIDENCE,4250 BATTLECREEK RD,,,SOUTH PITTSBURG,TN,MARION,,,,,,,,,,,,,,,,N
1202243,CALLER REPORTED A BLOW OUT ON A WATER INJECTION SYSTEM THAT CAUSED A RELEASE OF BENZENE.,FIXED,EQUIPMENT FAILURE,1/18/18 13:49,OCCURRED,,2201 OLD SPANISH TRAIL,,,WESTLAKE,LA,CALCASIEU,70669,,,,,,,,,,,,,,,N
1202244,"/// UPDATE TO NRC INCIDENT REPORT # 1202157 ///

THIS IS A 48 HOUR UPDATE UNDER PHMSA REGULATIONS.

UPDATE: CALLER CHANGED RESPONSIBLE PARTY FROM UNKNOWN TO SHELL PIPELINE.
SOURCE IS SECURE, REMEDIATION IS UNDERWAY. TOTAL AMOUNT IS CALCULATED AS A VOLUME OF 2.27 BARRELS.
PIPELINE CHANGED TO LATERAL AND DOT REGULATED.
RELEASED MATERIAL CHANGED TO JET 8 FROM OTHER OIL.

ORIGINAL REPORT: CALLER REPORTS THAT APPROXIMATELY 1 BARREL OF JET FUEL HAS BEEN DISCHARGED ONTO THE GROUND AS A RESULT OF UNKNOWN CAUSES. PER THE CALLER, THERE IS NO IMPACT TO  WATERWAYS.


/// UPDATE TO NRC INCIDENT REPORT # 1202157 ///",PIPELINE,UNKNOWN,1/17/18 15:02,DISCOVERED,PLANTATION PIPELINE,2200 BLOUNT RD,,,BATON ROUGE,LA,E. BATON ROUGE,,,,,,,,,,,,,,,,N
1202245,DIESEL FUEL DISCHARGED FROM A SADDLE TANK DUE TO A SINGLE VEHICLE ACCIDENT.,MOBILE,OTHER,1/16/18 20:00,OCCURRED,OFF ROUTE 69; MM496,,,,KOUNTZE,TX,HARDIN,,,,,,,,,,,,,,,,N
1202246,CALLER REPORTED A CONTRACTOR NEXT DOOR SPRAYED HYDRAULIC FLUID ONTO THE NEIGHBORS CAR AND HOME DUE TO A LINE RUPTURE.,FIXED,EQUIPMENT FAILURE,1/15/18 8:00,DISCOVERED,,818 SERENADE ST,,,NORTHWEST PALM BAY,FL,BREVARD,,,,,,,,,,,,,,,,N
1202248,CALLER REPORTED A SPILL FROM AN OVERFLOW OF A FUEL TANK.,VESSEL,OTHER,1/18/18 15:46,DISCOVERED,NORFOLK NAVAL BASE,,,,,VA,NORFOLK,,,,,,,,,,,,,,,,N
1202249,HYDRAULIC OIL DISCHARGED FROM A HYDRAULIC SYSTEM ON THE VESSEL DUE TO AN EQUIPMENT FAILURE.,VESSEL,EQUIPMENT FAILURE,1/18/18 13:00,OCCURRED,GULF OF MEXICO,LAT: 26N 31.2',LONG: -090 31.7',,,LA,WALKER RIDGE AREA,,,,,26,31,12,N,90,31,42,W,,,,N
1202250,CALLER REPORTED A THIRD PARTY HAULER OVERFILLED THEIR TANK AND OVERFLOWED SOME RESIDUAL OILY RESIDUE.,MOBILE,OPERATOR ERROR,1/18/18 9:30,DISCOVERED,,OFF OF HWY 48 AND HWY 4,,,BROWNSVILLE,TX,CAMERON,,,,,,,,,,,,,,,,N
1202253,UNKNOWN PETROCHEMICAL PRODUCT RELEASED FROM A FORMER WORK VESSEL AS A RESULT OF RESIDUE DURING SALVAGE OPERATIONS.,VESSEL,OTHER,1/18/18 9:23,OCCURRED,SCRAP YARD AREA NEXT TO NAY ST.,NAY ST.,,,E. BOSTON,MA,SUFFOLK,,,,,,,,,,,,,,,,N
1202254,CALLER REPORTED THE POTENTIAL RELEASE OF MATERIALS FROM AN ABANDONED DRUM.,STORAGE TANK,OTHER,1/18/18 12:30,DISCOVERED,,69-60 188TH ST,,,QUEENS,NY,QUEENS,11365,,,,,,,,,,,,,,,Y
1202255,UNKNOWN SHEEN SIGHTING.  EXACT SOURCE OF THE SHEEN IS UNKNOWN AT THIS TIME.,UNKNOWN SHEEN,UNKNOWN,1/18/18 13:30,DISCOVERED,COLUMBIA RIVER; AT #10 BASIN,NEAR 10 BASIN ST,,,ASTORIA,OR,CLATSOP,,,,,,,,,,,,,,,,N
1202256,CALLER REPORTED THE DISCOVERY OF RED DYE DIESEL IN A DITCH NEAR THEIR FACILITY.,FIXED,UNKNOWN,1/18/18 12:00,DISCOVERED,,2200 OLD SPANISH TRAIL,,,WESTLAKE,LA,CALCASIEU,,,,,,,,,,,,,,,,N
1202257,CRUDE OIL DISCHARGED FROM A 4 INCH PIPELINE JUST OUTSIDE THE FACILITY DUE TO AN EQUIPMENT MALFUNCTION.,PIPELINE,EQUIPMENT FAILURE,1/18/18 11:30,OCCURRED,CHEMICAL FACILITY,167 SHULER RD,,,EL DORADO,AR,UNION,71730,,,,,,,,,,,,,,,N
1202258,CALLER REPORTED A LEAK OF FUEL ON THEIR VESSEL FROM AN UNKNOWN LOCATION.,VESSEL,UNKNOWN,1/18/18 13:30,DISCOVERED,PUGET SOUND,BASE SEATTLE PIER,,,SEATTLE,WA,KING,,,,,,,,,,,,,,,,N
1202259,UNKNOWN SHEEN SIGHTING.  EXACT SOURCE OF THE SHEEN IS UNKNOWN AT THIS TIME.,UNKNOWN SHEEN,UNKNOWN,1/18/18 13:45,DISCOVERED,SAN DIEGO HARBOR; NAVAL BASE SAN DIEGO; PIER 7,,,,SAN DIEGO,CA,SAN DIEGO,,,,,,,,,,,,,,,,N
1202260,CALLER REPORTED A RELEASE OF MATERIALS DURING HYDRA TESTING OF THEIR BILGE HOSE.,FIXED,EQUIPMENT FAILURE,1/18/18 13:30,DISCOVERED,BANGER KEYPORT,NAVAL BASE KITSAP,,,SILVERDALE,WA,KITSAP,,,,,,,,,,,,,,,,N
1202261,JET A FUEL DISCHARGED FROM AN AIRCRAFT DUE TO OPERATOR ERROR (SOMEBODY OPENED UP THE DUMP VALVE BY MISTAKE).,AIRCRAFT,OPERATOR ERROR,1/18/18 16:57,OCCURRED,NEWARK LIBERTY INTERNATIONAL AIRPORT; TERMINALC; GATE 128,,,,NEWARK,NJ,UNION,,,,,,,,,,,,,,,,N
1202262,CARBON DIOXIDE RELEASED FROM A SPIRAL FREEZER DUE TO AN EXHAUST SYSTEM THAT WAS CLOGGED.,FIXED,EQUIPMENT FAILURE,1/17/18 7:00,OCCURRED,,1120 WEST 47TH PLACE,,,CHICAGO,IL,COOK,60609,,,,,,,,,,,,,,,N
1202263,ALCOHOL NOS RELEASED THROUGH THE PRESSURE RELIEF VALVE ON A TANK CAR DUE TO AN OVERLOADING OF THE CAR.  THE TANK CAR WAS NOT PART OF A TRAIN.,RAILROAD,UNKNOWN,1/18/18 16:33,OCCURRED,PHOENIX RAIL YARD,1301 EAST HARRISON ST.,,,PHOENIX,AZ,MARICOPA,,,,,,,,,,,,,,,,N
1202266,CALLER REPORTED A TRAIN COLLISION DUE TO UNKNOWN REASONS. A REGULATOR RAN INTO THE SIDE OF A TRAIN. THERE WERE NO INJURIES AND A SMALL RELEASE OF MATERIALS. DAMAGE AMOUNT IS ESTIMATED TO BE AROUND 150K.,RAILROAD,UNKNOWN,1/18/18 15:30,OCCURRED,,MP 388,,,WARREN,MN,MARSHALL,,,,,,,,,,,,,,,,N
1202267,UNKNOWN SHEEN SIGHTING.  EXACT SOURCE OF THE SHEEN IS UNKNOWN AT THIS TIME.  CALLER SUSPECTS THE SHEEN ORIGINATED FROM A VESSEL (SHAMYA).,UNKNOWN SHEEN,UNKNOWN,1/18/18 15:00,DISCOVERED,VENTURA HARBOR BOAT YARD; DOCK B,,,,VENTURA,CA,VENTURA,,,,,,,,,,,,,,,,N
1202268,CALLER REPORTED DUE TO FREEZING TEMPERATURES A DRIP PAN ON THEIR DOCK CRACKED AND LEAKED MATERIALS.,FIXED,NATURAL PHENOMENON,1/18/18 16:50,OCCURRED,,2611 HAINING RD,,,VICKSBURG,MS,WARREN,39181,,,,,,,,,,,,,,,N
1202269,PROPANE RELEASED FROM AN APPLIANCE INSIDE A HOUSE DUE TO A LEAK.,FIXED,EQUIPMENT FAILURE,1/16/18 12:00,DISCOVERED,PRIVATE RESIDENCE,520 CONNERY RD,,,WENATCHEE,WA,CHELAN,,,,,,,,,,,,,,,,N
1202270,CALLER REPORTED DUE TO COLD WEATHER CONDITIONS AN OPERATIONAL UPSET CAUSED AN EMISSION OF MATERIALS.,FIXED,NATURAL PHENOMENON,1/16/18 22:00,OCCURRED,,4001 CEDAR POINT RD,,,OREGON,OH,LUCAS,,,,,,,,,,,,,,,,N
1202271,CALLER REPORTED A TRANSFORMER MALFUNCTIONED AND SPILLED OIL INSIDE ITS VAULT. THERE IS A CONTRACTOR IN ROUTE FOR CLEANUP. THE OIL HAS BEEN TESTED AND IT IS NON PCB.,FIXED,EQUIPMENT FAILURE,1/18/18 16:45,DISCOVERED,,1762 TECHNOLOGY DR,,,SAN JOSE,CA,SANTA CLARA,,,,,,,,,,,,,,,,N
1202272,DIESEL FUEL DISCHARGED FROM A LOCOMOTIVE (#BNSF3013) THAT WAS DAMAGED BY BEING STRUCK BY MAINTENANCE-WAY EQUIPMENT (SNOW PLOW).  THE LOCOMOTIVE WAS PART OF FREIGHT TRAIN #LTWI641118).,RAILROAD,UNKNOWN,1/18/18 14:30,OCCURRED,MILEPOST: 28.8,,,,WARREN,MN,MARSHALL,,,,,,,,,,,,,,,,N
1202274,GRADE CROSSING ACCIDENT INVOLVING A PASSENGER TRAIN AND AUTOMOBILE.  A SERVICE DELAY TOOK PLACE FOR 44 MINUTES.,RAILROAD NON-RELEASE,TRESPASSER,1/18/18 19:07,OCCURRED,,PRIVATE CROSSING,,,ROYALTON,VT,WINDSOR,,,,,,,,,,,,,,,,N
1202275,MATERIAL RELEASED FROM TWO PORT-O-POTTY'S THAT WERE BLOWN INTO THE HARBOR BY HIGH WINDS.,FIXED,NATURAL PHENOMENON,1/18/18 9:00,OCCURRED,PEARL HARBOR; PIER K10,,,,HONOLULU,HI,HONOLULU,,,,,,,,,,,,,,,,N
1202276,CALLER REPORTED AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE.,UNKNOWN SHEEN,UNKNOWN,1/18/18 13:00,DISCOVERED,HFOTI TERMINAL,SEE LATE/LONG,,,HOUSTON,TX,HARRIS,,,,,29,45,0,N,95,6,18,W,,,,N
1202277,"ANHYDROUS AMMONIA RELEASED TO THE ATMOSPHERE, AFTER THE FLARE ""WENT OUT"" (UNIT DOWN).",FIXED,OTHER,1/18/18 19:00,OCCURRED,,10800 RIVER ROAD.,,,WAGGAMAN,LA,JEFFERSON,70094,,,,,,,,,,,,,,,N
1202278,CALLER STATED THEY SMELLED AN UNKNOWN TOXIC ODOR IN THE AIR AND BELIEVED IT IS COMING FROM A DUMP TRUCK PARKED ON THE STREET.,MOBILE,UNKNOWN,1/18/18 21:30,DISCOVERED,KELLY STREET AND NORTH LANG,,,,PITTSBURGH,PA,ALLEGHENY,,,,,,,,,,,,,,,,N
1202279,"APPROXIMATELY 10-15 GALLONS OF ACRYLONITRILE RELEASED FROM AN ABOVE GROUND STORAGE TANK, DUE TO LEAKY VALVE. ALL PRODUCT IS CONTAINED WITHIN SECONDARY CONTAINMENT.",STORAGE TANK,EQUIPMENT FAILURE,1/18/18 18:50,OCCURRED,,1701 CORNELL RD.,,,GREEN BAY,WI,BROWN,54313,,,,,,,,,,,,,,,N
1202280,CALLER STATED THAT 50 GALLONS OF DIESEL WAS DISCHARGED ONTO PAVEMENT AND SOIL FROM THE SADDLE TANK OF A TRACTOR TRAILER DUE TO BEING STRUCK BY ROAD DEBRIS.,MOBILE,EQUIPMENT FAILURE,1/18/18 18:00,OCCURRED,"INTERSTATE 10, NEAR MILE MARKER 223",,,,KENNER,LA,JEFFERSON,,,,,,,,,,,,,,,,N
1202281,"AN UNKNOWN AMOUNT OF HYDROCARBON AND WATER MIXTURE DISCHARGED FROM A 3"" DOCK LINE ACCUMULATOR, AFTER FREEZING TEMPERATURES CAUSED THE LINE TO SPLIT.",FIXED,NATURAL PHENOMENON,1/18/18 20:33,DISCOVERED,,9901 HWY 18,,,ST. JAMES,LA,ST. JAMES,70086,,,,,,,,,,,,,,,N
1202282,"AT 1845CST. A FREIGHT TRAIN DERAILED 15 RAILCARS, DUE TO A BROKEN RAIL AT THE SOSAN RAILYARD. SOME CARS CONTAIN LOADED HAZMAT, HOWEVER, THERE IS NO REPORTED RELEASE. ALL CARS ARE CURRENTLY IN AN UPRIGHT POSITION. THE REPORTING SOURCE WAS NOT AWARE OF THE DERAILMENT UNTIL 2220CST.",RAILROAD,DERAILMENT,1/18/18 18:45,OCCURRED,SOSAN RAILYARD,1711 QUINTANA RD,,,SAN ANTONIO,TX,BEXAR,78211,,,,,,,,,,,,,,,Y
